"X","saison","rank","champion","tot_win","tot_lose","avg_kills","avg_deaths","avg_assists","gold","nb_kill_mobs","max_kills","max_deaths","avg_dmg_dealt","avg_dmg_taken","dk","tk","qk","quintu","winrate","nb_games","kd_rate","role"
0,"12",1,"Akshan",58,39,9.4,5.5,5.5,12695,185,28,13,130093,17285,122,19,0,0,59,97,2.70909090909091,"Mid"
1,"12",2,"Veigar",9,7,6.6,4.6,5.1,12140,206.5,11,9,150255,15666,8,0,0,0,56,16,2.54347826086957,"Mid"
2,"12",3,"Viktor",6,9,5.7,6,5.3,12311,197.7,13,10,142283,16583,8,2,1,0,40,15,1.83333333333333,"Mid"
3,"12",4,"Lux",8,6,7,3.9,9.4,12373,207.5,16,7,143237,13941,13,1,0,0,57,14,4.20512820512821,"Mid"
4,"12",5,"Zilean",7,7,5.9,3.3,11,12040,195.5,12,8,144990,21851,5,0,0,0,50,14,5.12121212121212,"Support"
5,"12",6,"Ezreal",4,5,5.2,4.7,5.7,11261,184.4,14,10,127348,15567,8,1,0,0,44,9,2.31914893617021,"Bot"
6,"12",7,"Anivia",4,3,5.6,3.7,6.9,10890,180.4,8,5,115149,17911,0,0,0,0,57,7,3.37837837837838,"Mid"
7,"12",8,"Sivir",2,4,9,3.8,6.5,11395,172.5,19,7,127338,14487,4,1,0,0,33,6,4.07894736842105,"Bot"
8,"12",9,"Séraphine",3,2,5.8,4,7.6,10184,172,14,7,107947,11929,4,1,0,0,60,5,3.35,"Support"
9,"12",10,"Kai'Sa",2,2,7.8,5,6,11156,173.3,13,8,109016,14048,2,0,0,0,50,4,2.76,"Bot"
10,"12",11,"Kayle",2,0,9.5,3.5,4,13141,208,12,7,133195,19401,3,1,0,0,100,2,3.85714285714286,"Top"
11,"12",12,"Malzahar",1,1,6.5,5,8.5,12250,223,7,7,144300,12558,1,0,0,0,50,2,3,"Mid"
12,"12",13,"Twisted Fate",1,0,10,1,7,10638,140,10,1,87050,11037,0,0,0,0,100,1,17,"Mid"
13,"12",14,"Kalista",1,0,15,4,7,17909,242,15,4,250760,30691,1,0,0,0,100,1,5.5,"Bot"
14,"12",15,"Ivern",0,1,2,5,6,9741,141,2,5,352666,19291,0,0,0,0,0,1,1.6,"Jungle"
15,"12",16,"Ahri",0,1,1,3,3,7770,177,1,3,102915,11681,0,0,0,0,0,1,1.33333333333333,"Mid"
16,"12",17,"Gangplank",0,1,0,4,1,6083,129,0,4,69071,9512,0,0,0,0,0,1,0.25,"Top"
17,"12",18,"Teemo",0,1,7,9,1,13553,194,7,9,136119,29537,0,0,0,0,0,1,0.888888888888889,"Top"
18,"12",19,"Vel'Koz",0,1,12,6,11,13842,175,12,6,134607,18163,1,0,0,0,0,1,3.83333333333333,"Mid"
19,"12",20,"Ashe",0,1,8,8,17,15368,226,8,8,183153,23771,1,0,0,0,0,1,3.125,"Bot"
20,"12",21,"Corki",0,1,9,8,6,16668,246,9,8,207770,22061,1,0,0,0,0,1,1.875,"Mid"
21,"12",22,"Singed",0,1,0,5,0,5458,125,0,5,61498,13706,0,0,0,0,0,1,0,"Top"
22,"3",1,"Twitch",178,121,9.6,5.3,6,12073,169.5,28,15,121100,19780,379,59,7,3,59,299,2.94339622641509,"Bot"
23,"3",2,"Brand",61,51,8.6,5.8,7,12066,161.8,22,12,119792,19932,97,19,1,0,54,112,2.68965517241379,"Support"
24,"3",3,"Lux",47,50,6.9,5.7,9.5,11201,147,19,14,117815,15779,44,6,0,0,48,97,2.87719298245614,"Mid"
25,"3",4,"Corki",44,47,9.1,5.3,6.5,12350,190.5,23,12,144618,22357,101,13,4,0,48,91,2.94339622641509,"Mid"
26,"3",5,"Pantheon",52,33,10,5,5,12752,179,22,12,131118,23242,93,13,4,0,61,85,3,"Support"
27,"3",6,"Irelia",13,14,7.6,5.6,7.1,11615,172.9,14,14,98363,29610,18,1,0,0,48,27,2.625,"Top"
28,"3",7,"Draven",6,13,6.8,5.9,5.3,9890,148.1,20,11,101326,18063,13,1,0,0,31,19,2.05084745762712,"Bot"
29,"3",8,"Nasus",8,10,6.2,4.6,9.9,11640,70.6,13,8,180798,37344,9,0,0,0,44,18,3.5,"Top"
30,"3",9,"Shaco",11,5,8,5.1,10,10330,41.9,16,10,117485,18556,9,1,0,0,68,16,3.52941176470588,"Jungle"
31,"3",10,"Janna",5,7,0.7,4.2,12,7046,14.8,3,8,18128,13430,0,0,0,0,41,12,3.02380952380952,"Support"
32,"3",11,"Blitzcrank",4,8,1,7.1,11,7397,18.8,4,10,25131,22985,0,0,0,0,33,12,1.69014084507042,"Support"
33,"3",12,"Ziggs",2,10,4.1,6.4,4.1,10034,173.1,12,11,145206,16697,3,0,0,0,16,12,1.28125,"Mid"
34,"3",13,"Singed",3,7,4.7,4.8,8.5,11589,192.9,13,8,124088,31523,4,0,0,0,30,10,2.75,"Top"
35,"3",14,"Diana",5,3,9.1,5.9,7.8,12047,156.4,13,12,145960,21804,5,0,0,0,62,8,2.86440677966102,"Jungle"
36,"3",15,"Fizz",4,4,6.9,5.5,5.6,9033,101.1,12,12,63778,17506,4,0,0,0,50,8,2.27272727272727,"Mid"
37,"3",16,"Vayne",7,0,5.7,5.7,6.9,11841,170.3,16,9,116777,20899,6,0,0,0,100,7,2.21052631578947,"Bot"
38,"3",17,"Swain",5,2,7.4,5,9.7,11077,133.1,19,12,102400,27334,6,1,0,0,71,7,3.42,"Support"
39,"3",18,"Caitlyn",2,5,5.3,4.9,7.1,10456,173,8,10,122520,17839,2,0,0,0,28,7,2.53061224489796,"Bot"
40,"3",19,"Alistar",4,2,2,4.5,15,9191,24.2,5,9,26645,27823,0,0,0,0,66,6,3.77777777777778,"Support"
41,"3",20,"Cassiopeia",3,2,7.2,7.4,6.2,9802,109,11,9,83209,17530,5,0,0,0,60,5,1.81081081081081,"Mid"
42,"3",21,"Gragas",2,3,4.8,4.4,3.8,9708,169.2,13,7,121208,16963,2,1,0,0,40,5,1.95454545454545,"Top"
43,"3",22,"Udyr",1,4,3.2,5,4.6,7024,17.8,9,12,73147,23948,1,0,0,0,20,5,1.56,"Jungle"
44,"3",23,"Jax",1,3,9.3,6.8,8.3,11829,167,13,9,111087,30213,3,1,0,0,25,4,2.58823529411765,"Top"
45,"3",24,"Gangplank",0,4,8.5,9.3,11,16228,235.5,10,13,177906,42978,3,0,0,0,0,4,2.09677419354839,"Top"
46,"3",25,"Ezreal",2,1,9.7,4,9.3,11941,164.3,12,5,121825,17957,4,0,0,0,66,3,4.75,"Bot"
47,"3",26,"Sona",2,1,1.3,6.7,15,9369,21,3,9,28680,19232,1,0,0,0,66,3,2.43283582089552,"Support"
48,"3",27,"Annie",1,2,6.7,6.3,5.3,10370,60.3,9,9,55572,17003,3,0,0,0,33,3,1.9047619047619,"Mid"
49,"3",28,"Orianna",1,2,5.7,6,4.3,10826,184.3,10,7,136765,14858,1,0,0,0,33,3,1.66666666666667,"Mid"
50,"3",29,"Jarvan IV",2,0,2,5,11,9373,94.5,4,5,88699,25901,0,0,0,0,100,2,2.6,"Jungle"
51,"3",30,"Jinx",1,1,4,5,8,12069,219.5,6,6,163007,22679,0,0,0,0,50,2,2.4,"Bot"
52,"3",31,"Tryndamere",1,1,5,9,4.5,11977,175,6,11,160376,34171,2,0,0,0,50,2,1.05555555555556,"Top"
53,"3",32,"Nidalee",1,1,2.5,3.5,6,6986,97.5,4,4,74759,14276,0,0,0,0,50,2,2.42857142857143,"Jungle"
54,"3",33,"Varus",0,2,1.5,6.5,0.5,6550,133,2,7,69991,14109,0,0,0,0,0,2,0.307692307692308,"Bot"
55,"3",34,"Kassadin",0,2,6.5,6.5,7.5,12120,191,8,7,144463,31472,1,0,0,0,0,2,2.15384615384615,"Mid"
56,"3",35,"Twisted Fate",0,2,4.5,5.5,4,11172,174.5,9,7,144038,17694,2,0,0,0,0,2,1.54545454545455,"Mid"
57,"3",36,"Akali",0,2,5,9.5,5.5,9111,124.5,5,10,79469,25128,0,0,0,0,0,2,1.10526315789474,"Mid"
58,"3",37,"Nunu et Willump",0,2,2,3,10,6356,23.5,2,3,21099,21673,0,0,0,0,0,2,4,"Jungle"
59,"3",38,"Evelynn",0,2,4.5,7.5,5,8579,49.5,7,8,122048,23161,0,0,0,0,0,2,1.26666666666667,"Jungle"
60,"3",39,"Amumu",0,2,4,2.5,3,7442,29.5,6,4,116575,20207,0,0,0,0,0,2,2.8,"Jungle"
