"champion","winrate","nb_game","kd_rate","nb_kill_mobs","gold","ligue","role"
"Yorick",53.36,6602,1.65,165.87,11345,"Iron","Top"
"Urgot",52.71,11269,1.81,169.6,11759,"Iron","Top"
"Dr. Mundo",52.63,13357,2.16,149.74,10714,"Iron","Top"
"Zyra",52.52,9079,1.94,62.79,9652,"Iron","Support"
"Zac",51.98,3053,2.85,124.09,10199,"Iron","Jungle"
"Trundle",51.75,11255,2.06,139.78,11191,"Iron","Jungle"
"Brand",51.53,16372,1.78,64.88,10056,"Iron","Support"
"Xerath",51.12,14980,2.33,80.79,10280,"Iron","Mid"
"Maître Yi",51.06,26925,1.74,147.28,11898,"Iron","Jungle"
"Rammus",50.89,3653,2.29,122.6,10230,"Iron","Jungle"
"Garen",50.86,21381,1.91,156.55,11362,"Iron","Top"
"Malzahar",50.78,5022,1.95,163.98,11151,"Iron","Mid"
"Skarner",50.74,680,2.1,134.78,10282,"Iron","Jungle"
"Miss Fortune",50.64,42200,2.07,144.7,11246,"Iron","Bot"
"Blitzcrank",50.59,15037,2.19,30.73,7836,"Iron","Support"
"Sion",50.52,4101,1.62,158.36,10976,"Iron","Top"
"Nasus",50.43,13792,1.83,148.07,10904,"Iron","Top"
"Swain",50.31,6249,2.11,54.31,9703,"Iron","Support"
"Lux",50.29,54899,2.27,66.5,9538,"Iron","Mid"
"Vi",50.21,13327,1.95,137.55,11048,"Iron","Jungle"
"Maokai",50.14,1819,2.04,53.23,8307,"Iron","Support"
"Amumu",50.09,9533,2.19,123.45,10128,"Iron","Jungle"
"Sejuani",50.02,3127,2.41,132.5,10346,"Iron","Jungle"
"Lillia",49.93,5177,2.06,149.5,11093,"Iron","Jungle"
"Ornn",49.92,4708,2.02,137.56,9848,"Iron","Top"
"Illaoi",49.89,6995,1.47,159.53,11077,"Iron","Top"
"Warwick",49.82,27389,1.89,124.17,10931,"Iron","Jungle"
"Viktor",49.82,4872,1.98,146.5,10969,"Iron","Mid"
"Volibear",49.81,15260,1.89,133.23,10555,"Iron","Jungle"
