,saison,rank,champion,tot_win,tot_lose,avg_kills,avg_deaths,avg_assists,gold,nb_kill_mobs,max_kills,max_deaths,avg_dmg_dealt,avg_dmg_taken,dk,tk,qk,quintu
0,Saison 2022,1,Akshan,58V,39 D,9.4,5.5,5.5,"12,695",185.0(6.7),28,13,"130,093","17,285",122,19,,
1,Saison 2022,2,Veigar,9V,7 D,6.6,4.6,5.1,"12,140",206.5(7.3),11,9,"150,255","15,666",8,,,
2,Saison 2022,3,Viktor,6V,9 D,5.7,6.0,5.3,"12,311",197.7(6.9),13,10,"142,283","16,583",8,2,1,
3,Saison 2022,4,Lux,8V,6 D,7.0,3.9,9.4,"12,373",207.5(6.9),16,7,"143,237","13,941",13,1,,
4,Saison 2022,5,Zilean,7V,7 D,5.9,3.3,11.,"12,040",195.5(6.3),12,8,"144,990","21,851",5,,,
5,Saison 2022,6,Ezreal,4V,5 D,5.2,4.7,5.7,"11,261",184.4(7.0),14,10,"127,348","15,567",8,1,,
6,Saison 2022,7,Anivia,4V,3 D,5.6,3.7,6.9,"10,890",180.4(7.0),8,5,"115,149","17,911",,,,
7,Saison 2022,8,Sivir,2V,4 D,9.0,3.8,6.5,"11,395",172.5(6.9),19,7,"127,338","14,487",4,1,,
8,Saison 2022,9,Séraphine,3V,2 D,5.8,4.0,7.6,"10,184",172.0(6.8),14,7,"107,947","11,929",4,1,,
9,Saison 2022,10,Kai'Sa,2V,2 D,7.8,5.0,6.0,"11,156",173.3(7.4),13,8,"109,016","14,048",2,,,
10,Saison 2022,11,Kayle,2V,0,9.5,3.5,4.0,"13,141",208.0(7.6),12,7,"133,195","19,401",3,1,,
11,Saison 2022,12,Malzahar,1V,1 D,6.5,5.0,8.5,"12,250",223.0(7.8),7,7,"144,300","12,558",1,,,
12,Saison 2022,13,Twisted Fate,1V,0,10.,/1.,/7.,"10,638",140.0(7.1),10,1,"87,050","11,037",,,,
13,Saison 2022,14,Kalista,1V,0,15.,/4.,/7.,"17,909",242.0(6.9),15,4,"250,760","30,691",1,,,
14,Saison 2022,15,Ivern,0,1 D,2.0,5.0,6.0,"9,741",141.0(4.3),2,5,"352,666","19,291",,,,
15,Saison 2022,16,Ahri,0,1 D,1.0,3.0,3.0,"7,770",177.0(7.0),1,3,"102,915","11,681",,,,
16,Saison 2022,17,Gangplank,0,1 D,0.0,4.0,1.0,"6,083",129.0(6.7),0,4,"69,071","9,512",,,,
17,Saison 2022,18,Teemo,0,1 D,7.0,9.0,1.0,"13,553",194.0(6.6),7,9,"136,119","29,537",,,,
18,Saison 2022,19,Vel'Koz,0,1 D,12.,/6.,/11,"13,842",175.0(6.0),12,6,"134,607","18,163",1,,,
19,Saison 2022,20,Ashe,0,1 D,8.0,8.0,17.,"15,368",226.0(6.3),8,8,"183,153","23,771",1,,,
20,Saison 2022,21,Corki,0,1 D,9.0,8.0,6.0,"16,668",246.0(7.9),9,8,"207,770","22,061",1,,,
21,Saison 2022,22,Singed,0,1 D,0.0,5.0,0.0,"5,458",125.0(6.2),0,5,"61,498","13,706",,,,
