,rank,champion,winrate,nb_game,kd_rate,nb_kill_mobs,gold
0,1,Yorick,53.15%,49109,1.7,184.96,12042
1,2,Urgot,52.92%,67909,1.97,187.68,12544
2,3,Dr. Mundo,52.85%,73507,2.39,169.09,11424
3,4,Garen,52.49%,135503,2.19,177.7,12321
4,5,Maître Yi,51.97%,136782,1.9,160.43,12609
5,6,Zyra,51.92%,69475,2.1,63.21,9937
6,7,Trundle,51.82%,82425,2.25,154.05,11764
7,8,Zac,51.78%,34864,3.23,133.59,10739
8,9,Sona,51.63%,40061,2.81,18.72,8366
9,10,Brand,51.58%,104865,1.88,73.05,10495
10,11,Miss Fortune,51.36%,210965,2.3,167.41,12184
11,12,Amumu,51.3%,68176,2.45,137.36,10753
12,13,Ziggs,51.26%,33768,2.32,161.39,11440
13,14,Nasus,51.24%,85074,2.03,166.98,11650
14,15,Blitzcrank,51.15%,87008,2.39,33.52,8098
15,16,Veigar,51.02%,142610,2.25,156.27,11709
16,17,Sion,51.02%,35955,1.65,179.29,11712
17,18,Malzahar,50.97%,48946,2.14,184.6,11992
18,19,Vi,50.9%,83241,2.21,148.42,11564
19,20,Rammus,50.9%,28214,2.55,129.77,10656
20,21,Shyvana,50.86%,28983,2.25,177.32,12001
21,22,Fizz,50.81%,50833,2.37,138.42,11793
22,23,Kayle,50.6%,50186,1.87,191.24,12125
23,24,Swain,50.57%,49431,2.26,57.59,10025
24,25,Xerath,50.42%,93080,2.57,93.69,10863
25,26,Vel'Koz,50.41%,59791,2.26,99.63,10472
26,27,Nocturne,50.4%,68100,2.33,158.05,12224
27,28,Singed,50.34%,15547,1.81,164.68,11091
28,29,Lillia,50.29%,34861,2.25,167.02,11839
29,30,Lux,50.27%,309506,2.5,76.19,10010
30,31,Teemo,50.25%,109055,1.72,164.33,11828
31,32,Warwick,50.2%,111119,2.1,135.78,11488
32,33,Sivir,50.17%,46215,2.38,184.94,11940
33,34,Nami,50.15%,58595,2.96,13.7,8205
34,35,Diana,50.14%,149688,2.16,170.21,12184
35,36,Jhin,50.04%,176219,2.74,168.35,12129
36,37,Neeko,50%,38109,2.15,120.27,10476
37,38,Sejuani,50%,27812,2.77,145.37,10982
38,39,Skarner,49.94%,5385,2.5,138.54,10484
39,40,Viktor,49.9%,47165,2.18,170.37,11812
40,41,Morgana,49.89%,152050,2.39,51.16,9411
41,42,Shaco,49.88%,82058,2.47,130.1,11600
42,43,Ornn,49.88%,34073,2.2,153.64,10425
43,44,Heimerdinger,49.84%,25339,1.73,152.19,11082
44,45,Volibear,49.82%,83190,2.15,147.06,11204
45,46,Shen,49.8%,49969,2.76,122.05,9917
46,47,Rell,49.77%,11061,2.29,33.88,8032
47,48,Tristana,49.75%,124883,2.2,169.19,12312
48,49,Zilean,49.74%,24696,2.69,60.13,8927
49,50,Mordekaiser,49.73%,94894,1.87,159.24,11554
50,51,Yasuo,49.71%,166258,1.68,184.07,12376
51,52,Nunu et Willump,49.68%,40610,2.6,135.26,10640
52,53,Sett,49.66%,100785,1.77,150.42,11388
53,54,Illaoi,49.66%,37308,1.53,182.46,11827
54,55,Cho'Gath,49.6%,45773,2.14,157.56,11310
55,56,Maokai,49.6%,12586,2.22,58.33,8745
56,57,Yone,49.57%,145898,1.78,174.41,12138
57,58,Cassiopeia,49.48%,47736,1.95,165.18,11671
58,59,Ahri,49.45%,107412,2.31,147.54,11006
59,60,Ekko,49.39%,77643,2.27,153.73,11725
60,61,Soraka,49.38%,56509,2.52,19.48,7671
61,62,Vayne,49.37%,118649,1.93,163.4,11974
