,rank,champion,winrate,nb_game,kd_rate,nb_kill_mobs,gold
0,1,Illaoi,75%,8,0.92,191.25,10613
1,2,Teemo,66.67%,6,2.17,149.33,10535
2,3,Malzahar,66%,50,2.34,206.78,11517
3,4,Miss Fortune,65.31%,49,2.48,211.33,11757
4,5,Kennen,64.38%,146,2.45,172.76,10723
5,6,Wukong,63.16%,38,1.96,167.87,10603
6,7,Neeko,62.34%,77,2.63,155.61,10266
7,8,Annie,61.11%,36,2.94,170.44,11247
8,9,Riven,60.82%,194,2.23,200.38,11665
9,10,Bard,60.29%,277,3.48,18.87,8059
10,11,Pantheon,59.48%,116,2.42,144.99,10665
11,12,Rek'Sai,59.06%,254,2.68,143.52,11558
12,13,Rumble,58.97%,117,2.94,166.0,11136
13,14,Janna,58.82%,510,3.5,16.71,7296
14,15,Rakan,58.46%,402,3.57,30.07,7551
15,16,Ivern,58.33%,96,4.14,100.94,8501
16,17,Zoé,57.89%,133,3.24,175.72,10689
17,18,Kalista,57.89%,95,2.17,216.08,12900
18,19,Zed,57.85%,242,2.84,177.67,12002
19,20,Varus,57.8%,109,2.44,202.34,11878
20,21,Camille,57.53%,299,2.1,173.19,11045
21,22,Qiyana,57.47%,435,2.62,174.56,11878
22,23,Warwick,57.35%,211,2.0,139.27,10480
23,24,Galio,57.14%,84,2.88,115.49,9077
24,25,Zac,57.14%,56,4.32,145.13,10922
25,26,Lissandra,57.14%,42,2.99,184.4,10976
26,27,Swain,57.14%,35,4.32,185.54,12537
27,28,Taric,57.14%,35,3.26,38.43,7525
28,29,Ornn,57.02%,114,2.41,169.06,9692
29,30,Kha'Zix,56.71%,559,3.13,162.06,11830
30,31,Garen,56.67%,30,2.0,198.27,12183
31,32,Nami,56.6%,265,3.07,13.8,7951
32,33,Sion,56.54%,191,1.31,221.96,12089
33,34,Kayle,56.41%,39,2.2,190.26,10497
34,35,Vel'Koz,56.41%,39,2.73,102.13,9637
35,36,Trundle,56.34%,71,2.73,138.31,10490
36,37,Ahri,56.33%,671,2.85,183.72,11129
37,38,Alistar,56.29%,151,2.71,30.01,7186
38,39,Singed,56.29%,151,2.62,139.44,9588
39,40,Rell,56.25%,48,2.66,32.04,7319
40,41,Sejuani,56.25%,32,3.26,135.78,9676
41,42,Sona,56.19%,315,3.04,18.36,7645
42,43,Maître Yi,56.06%,66,2.18,151.94,11178
43,44,Taliyah,56.03%,141,2.84,163.39,11557
44,45,Vex,55.99%,409,2.69,165.51,10658
45,46,Karma,55.95%,1008,3.03,62.02,8373
46,47,Tryndamere,55.9%,288,2.06,204.12,11930
47,48,Veigar,55.83%,532,2.6,194.53,11388
48,49,Soraka,55.81%,267,3.04,38.84,7444
49,50,Poppy,55.71%,140,2.84,145.48,10065
50,51,Zeri,55.59%,734,2.55,202.3,12200
51,52,Renekton,55.59%,295,1.99,191.45,11172
52,53,Hecarim,55.58%,394,3.61,166.8,11388
53,54,Volibear,55.56%,288,3.33,143.98,10487
54,55,Aurelion Sol,55.56%,117,2.57,156.64,10055
55,56,Skarner,55.56%,9,3.53,143.44,10297
56,57,Nautilus,55.5%,436,2.47,33.4,7147
57,58,Diana,55.32%,555,2.82,181.41,11964
58,59,Jinx,55.14%,1380,2.69,214.41,12219
59,60,Xin Zhao,55.14%,555,2.7,151.0,10919
60,61,Cassiopeia,54.96%,242,2.14,201.33,11738
61,62,Ziggs,54.9%,102,2.59,199.1,11584
62,63,Pyke,54.86%,740,2.57,43.45,10411
63,64,Aatrox,54.85%,361,2.0,172.92,10755
64,65,Vayne,54.79%,219,2.21,201.21,12316
65,66,Syndra,54.69%,320,2.48,197.73,11200
66,67,Braum,54.69%,64,2.7,30.34,7045
67,68,Viktor,54.64%,496,2.38,212.88,11723
68,69,Karthus,54.6%,326,2.32,196.62,12215
69,70,Twisted Fate,54.59%,185,2.82,162.65,10668
70,71,Leona,54.55%,385,2.59,32.88,7307
71,72,Gangplank,54.48%,145,2.14,213.7,13368
72,73,Renata Glasc,54.45%,191,3.02,25.15,7978
73,74,Olaf,54.39%,57,2.6,172.04,11542
74,75,Shen,54.29%,140,3.21,144.69,9560
75,76,Rengar,54.17%,192,2.51,153.86,11968
76,77,Sylas,54.05%,420,2.27,166.25,10660
77,78,Quinn,53.85%,65,1.67,190.98,12111
78,79,Mordekaiser,53.85%,39,2.18,187.79,11417
79,80,Vladimir,53.74%,214,2.9,205.0,11440
80,81,Darius,53.68%,231,1.89,182.76,11116
81,82,Ezreal,53.65%,617,2.29,197.83,11702
82,83,Lucian,53.57%,224,2.11,205.84,11943
83,84,Caitlyn,53.47%,303,2.61,213.23,12476
84,85,Tristana,53.25%,415,2.61,199.5,12481
85,86,Katarina,53.03%,132,2.63,161.23,11498
86,87,Jhin,52.96%,1046,3.31,204.17,11953
87,88,Kai'Sa,52.91%,206,2.67,207.11,12209
88,89,Viego,52.77%,938,2.84,155.18,11343
89,90,Fizz,52.52%,139,1.66,157.03,10924
90,91,Thresh,52.46%,589,2.81,31.35,7129
91,92,Tahm Kench,52.41%,145,2.53,45.19,7156
92,93,Kindred,52.38%,189,2.34,163.26,11721
