,rank,champion,winrate,nb_game,kd_rate,nb_kill_mobs,gold
0,1,Janna,53.27%,29783,3.35,16.63,7559
1,2,Riven,53.25%,14804,2.05,195.72,11970
2,3,Rek'Sai,52.99%,10025,2.63,149.35,11762
3,4,Quinn,52.94%,5652,1.94,176.36,12211
4,5,Fizz,52.92%,8694,2.49,169.48,11808
5,6,Rengar,52.88%,10107,2.39,168.12,12569
6,7,Ahri,52.76%,31239,2.68,179.77,11493
7,8,Blitzcrank,52.76%,15355,2.57,32.51,7733
8,9,Zeri,52.6%,40330,2.43,203.31,12573
9,10,Fiddlesticks,52.58%,9194,2.88,160.2,11143
10,11,Soraka,52.51%,17056,2.87,27.99,7482
11,12,Garen,52.51%,15388,2.03,204.39,12378
12,13,Senna,52.42%,30098,2.79,56.89,10200
13,14,Kha'Zix,52.41%,25932,2.7,162.52,12136
14,15,Rammus,52.36%,3396,3.07,134.34,10388
15,16,Sona,52.31%,11178,3.0,17.0,7799
16,17,Anivia,52.31%,8510,2.52,181.87,11472
17,18,Tahm Kench,52.3%,4516,2.6,104.72,9195
18,19,Shen,52.21%,11242,2.96,147.96,9826
19,20,Skarner,52.16%,1994,2.85,158.7,10635
20,21,Aurelion Sol,52.08%,2481,2.56,178.75,11309
21,22,Vayne,52.02%,33647,2.12,190.51,12117
22,23,Singed,52.02%,7387,2.14,174.41,10828
23,24,Diana,52%,30638,2.49,185.14,12304
24,25,Cassiopeia,51.98%,11962,2.04,199.9,11915
25,26,Urgot,51.97%,8691,1.87,204.69,12488
26,27,Heimerdinger,51.91%,3084,1.99,162.56,11180
27,28,Taliyah,51.86%,3683,2.68,144.79,11521
28,29,Vi,51.81%,6487,2.55,160.62,11506
29,30,Kled,51.8%,4629,2.3,167.14,11597
30,31,Tryndamere,51.79%,15257,1.88,213.75,12858
31,32,Qiyana,51.78%,21026,2.29,166.81,12142
32,33,Veigar,51.73%,30849,2.35,190.4,11907
33,34,Trundle,51.72%,10882,2.28,165.94,11442
34,35,Bard,51.54%,12176,3.23,22.35,8262
35,36,Akshan,51.53%,17907,2.09,184.98,12568
36,37,Zyra,51.5%,6847,2.12,53.7,9293
37,38,Pantheon,51.45%,5118,2.04,123.37,10855
