,rank,champion,winrate,nb_game,kd_rate,nb_kill_mobs,gold
0,1,Garen,54.55%,170040,2.21,204.67,13025
1,2,Sona,53.48%,54766,3.0,18.56,8344
2,3,Urgot,53.37%,73333,1.96,207.12,13018
3,4,Dr. Mundo,53.34%,55283,2.35,192.27,11953
4,5,Nocturne,53.19%,78975,2.63,170.9,12533
5,6,Soraka,53.18%,91093,2.81,23.1,7812
6,7,Kayle,53.11%,74198,1.96,222.18,12909
7,8,Vayne,52.99%,232583,2.14,189.33,12667
8,9,Zyra,52.89%,75254,2.1,57.85,9850
9,10,Veigar,52.84%,185523,2.38,185.54,12373
10,11,Ahri,52.81%,194472,2.56,174.52,11803
11,12,Trundle,52.78%,96098,2.34,171.93,12154
12,13,Blitzcrank,52.67%,102060,2.55,35.02,8182
13,14,Rammus,52.65%,36604,2.88,137.57,10861
14,15,Ziggs,52.53%,39610,2.46,195.04,12303
15,16,Fizz,52.51%,65514,2.44,162.09,12262
16,17,Singed,52.43%,34178,2.06,183.36,11546
17,18,Warwick,52.41%,78500,2.29,149.93,11845
18,19,Janna,52.37%,123860,3.14,17.35,7874
19,20,Cassiopeia,52.35%,65215,2.03,198.19,12370
20,21,Vi,52.34%,89431,2.43,160.7,11914
21,22,Anivia,52.3%,56472,2.55,184.77,12090
22,23,Nunu et Willump,52.27%,67089,2.93,143.49,10899
23,24,Yorick,52.25%,51649,1.52,207.07,12467
24,25,Senna,52.21%,205924,2.69,60.78,10760
25,26,Kha'Zix,52.19%,125966,2.52,162.86,12579
26,27,Quinn,52.19%,34251,1.9,178.26,12571
27,28,Maître Yi,52.11%,120794,2.03,172.72,12986
28,29,Zac,52.07%,79169,3.5,144.76,11068
29,30,Nasus,52.03%,79134,2.02,186.2,12048
30,31,Shaco,52%,119372,2.69,139.67,12043
31,32,Jhin,51.99%,329921,2.96,192.0,12757
32,33,Sivir,51.97%,42719,2.55,215.47,12818
33,34,Kog'Maw,51.9%,23852,2.2,193.87,13001
34,35,Nami,51.82%,135520,3.19,13.86,8358
35,36,Shen,51.78%,80277,2.94,144.74,10337
36,37,Amumu,51.69%,61268,2.6,148.86,11035
37,38,Malzahar,51.65%,67436,2.15,202.66,12189
38,39,Akshan,51.62%,95089,2.1,183.14,12997
39,40,Mordekaiser,51.62%,78064,1.95,184.03,12179
40,41,Tristana,51.61%,113139,2.37,195.26,13056
41,42,Volibear,51.61%,89875,2.27,165.94,11755
42,43,Heimerdinger,51.61%,21421,1.84,170.03,11581
43,44,Diana,51.6%,209362,2.33,186.27,12680
44,45,Zilean,51.57%,75429,3.14,69.91,9006
45,46,Skarner,51.57%,10363,2.79,151.68,10826
46,47,Sejuani,51.54%,45615,3.12,154.72,11267
47,48,Xerath,51.48%,142315,2.78,113.64,11333
48,49,Twitch,51.48%,127105,2.37,163.79,12755
49,50,Ekko,51.48%,126557,2.51,172.89,12336
50,51,Ornn,51.47%,48508,2.36,171.35,10833
51,52,Fiddlesticks,51.45%,48249,2.65,159.87,11569
52,53,Annie,51.42%,34542,2.33,155.15,11464
53,54,Shyvana,51.41%,42177,2.49,197.06,12550
54,55,Zeri,51.26%,227511,2.37,201.15,12909
55,56,Miss Fortune,51.26%,112801,2.35,190.94,12805
56,57,Cho'Gath,51.25%,50252,2.2,180.64,11816
57,58,Maokai,51.19%,16742,2.26,63.44,8961
58,59,Hecarim,51.12%,116193,2.95,170.13,12182
59,60,Malphite,51.12%,75710,2.49,149.43,10711
60,61,Kled,51.1%,21116,2.36,169.35,12189
61,62,Brand,51.08%,100376,1.84,79.54,10536
62,63,Kassadin,51.06%,53095,2.42,178.15,12181
63,64,Riven,51.01%,66217,2.0,192.66,12325
64,65,Viktor,51%,126309,2.28,197.19,12422
65,66,Vel'Koz,50.94%,69939,2.39,125.54,10942
66,67,Lux,50.93%,273059,2.7,96.71,10501
67,68,Tahm Kench,50.91%,42597,2.56,124.96,10234
68,69,Udyr,50.9%,25707,2.53,181.29,11933
69,70,Neeko,50.89%,27993,2.21,136.48,11027
70,71,Jinx,50.87%,323656,2.41,202.49,12555
71,72,Teemo,50.85%,83745,1.71,185.88,12403
72,73,Morgana,50.79%,109668,2.54,52.38,9414
73,74,Vladimir,50.77%,66812,2.3,193.44,12080
74,75,Lulu,50.66%,145768,3.13,19.7,7992
75,76,Illaoi,50.64%,29968,1.41,213.08,12636
76,77,Renata Glasc,50.6%,87291,2.49,28.16,8503
77,78,Fiora,50.6%,78845,1.74,188.85,12305
78,79,Xin Zhao,50.54%,96097,2.32,159.23,11709
79,80,Ashe,50.45%,74553,2.39,170.87,11745
80,81,Zed,50.44%,120034,2.27,177.4,12675
81,82,Leona,50.4%,98244,2.44,36.44,8068
82,83,Sion,50.38%,94097,1.46,204.46,12309
83,84,Lillia,50.38%,47963,2.47,186.0,12321
84,85,Kayn,50.36%,157658,2.31,176.21,12619
85,86,Taric,50.36%,14973,2.73,48.84,8158
86,87,Aurelion Sol,50.36%,11462,2.39,166.89,11251
87,88,Tryndamere,50.34%,101449,1.81,218.66,13451
88,89,Wukong,50.33%,33163,2.19,171.84,12099
89,90,Swain,50.31%,41283,2.31,70.9,10213
90,91,Bard,50.15%,44233,2.98,26.36,8636
91,92,Sett,50.13%,98634,1.78,170.73,11905
92,93,Yone,50.12%,155224,1.77,201.3,12735
93,94,Graves,50.08%,105760,2.15,205.41,12877
94,95,Yasuo,50.07%,192682,1.69,208.36,12820
95,96,Irelia,50.06%,115346,1.71,221.61,13344
96,97,Viego,50.01%,156827,2.32,165.63,12244
97,98,Xayah,49.98%,51352,2.37,204.27,12807
98,99,Pyke,49.95%,138093,2.18,45.32,11576
99,100,Darius,49.93%,105265,1.83,191.92,12372
100,101,Nautilus,49.91%,96906,2.38,39.82,8135
101,102,Rek'Sai,49.91%,29276,2.4,150.11,12149
102,103,Katarina,49.88%,93401,2.22,161.25,12363
103,104,Poppy,49.88%,49214,2.42,145.63,10952
104,105,Alistar,49.87%,40529,2.54,36.09,7985
105,106,Séraphine,49.85%,54464,2.62,83.77,9703
106,107,Vex,49.83%,109510,2.36,151.62,11400
107,108,Evelynn,49.78%,46524,2.8,148.88,12216
108,109,Braum,49.72%,31151,2.87,35.02,7994
109,110,Camille,49.69%,62803,1.91,172.27,11725
110,111,Jarvan IV,49.62%,70717,3.14,150.35,11640
111,112,Talon,49.52%,32233,2.16,178.7,12917
112,113,Rell,49.5%,15756,2.39,34.25,8072
113,114,Draven,49.49%,69018,2.01,193.22,13493
114,115,Lissandra,49.49%,39620,2.33,174.68,11528
115,116,Kai'Sa,49.47%,176462,2.4,200.58,12904
116,117,Rakan,49.45%,54147,2.87,36.41,7995
117,118,Jax,49.39%,82179,1.62,186.45,12350
118,119,Gnar,49.26%,46513,1.92,183.84,11743
119,120,Galio,49.23%,29636,2.51,109.13,9719
120,121,Pantheon,49.19%,42348,2.06,109.83,10976
121,122,Yuumi,49.16%,113422,4.16,7.09,8042
122,123,Elise,49.14%,27815,2.41,137.83,11360
123,124,Akali,49.08%,139096,2.27,160.93,11724
124,125,Taliyah,49.05%,14514,2.32,135.35,11660
125,126,Kindred,49.04%,41894,2.12,172.17,12542
126,127,Rengar,48.93%,50110,2.11,167.57,12811
127,128,Caitlyn,48.85%,216187,2.25,196.35,12589
128,129,Ivern,48.69%,15314,3.11,116.07,9429
129,130,Karma,48.57%,99579,2.68,46.27,8790
130,131,Lucian,48.55%,102772,2.23,202.67,12994
131,132,Qiyana,48.53%,80007,2.12,165.06,12241
132,133,Zoé,48.5%,28419,2.45,151.99,11239
133,134,Ezreal,48.39%,243276,2.39,190.63,12764
134,135,Sylas,48.36%,83404,2.05,148.43,11381
135,136,Samira,48.27%,84924,2.13,190.75,13010
136,137,Aatrox,48.16%,57168,1.93,179.56,11758
137,138,Gwen,48.11%,103895,1.87,190.47,12228
