,rank,champion,winrate,nb_game,kd_rate,nb_kill_mobs,gold
0,1,Kled,60.36%,111,2.03,171.05,11560
1,2,Elise,60%,110,2.65,108.06,10277
2,3,Nocturne,59.91%,227,2.94,165.74,11358
3,4,Rek'Sai,58.83%,583,2.75,149.46,11572
4,5,Amumu,58.82%,17,2.22,97.76,8583
5,6,Kennen,58.41%,339,2.08,167.82,10567
6,7,Skarner,58.33%,12,3.44,149.42,10260
7,8,Ahri,58.27%,1251,2.9,185.73,11281
8,9,Tahm Kench,58.13%,332,2.8,52.77,7627
9,10,Maokai,57.98%,119,2.2,34.65,8151
10,11,Xayah,57.61%,276,2.49,212.67,12205
11,12,Vel'Koz,57.55%,139,2.83,118.86,10262
12,13,Shen,57.19%,292,3.03,140.27,8934
13,14,Aurelion Sol,57.14%,98,2.8,173.46,10680
14,15,Sejuani,56.96%,79,3.51,146.06,10196
15,16,Anivia,56.82%,88,2.81,186.36,10939
16,17,Brand,56.39%,266,1.95,93.15,10240
17,18,Taliyah,56.38%,94,2.62,149.61,10901
18,19,Nunu et Willump,56.36%,236,3.19,133.31,9757
19,20,Rell,55.78%,199,2.74,30.81,7412
20,21,Annie,55.77%,52,2.44,150.88,10331
21,22,Quinn,55.7%,228,1.98,188.92,11878
22,23,Kha'Zix,55.52%,951,3.11,164.2,12043
23,24,Lissandra,55.46%,238,2.72,197.12,11391
24,25,Veigar,55.44%,1434,2.4,193.44,11517
25,26,Talon,55.3%,302,2.45,176.44,12116
26,27,Janna,55.28%,1476,3.26,15.93,7273
27,28,Ornn,55.27%,512,2.51,168.67,9702
28,29,Poppy,55.09%,285,2.42,148.44,9904
29,30,Azir,55.08%,187,2.14,211.53,12318
30,31,Renata Glasc,55%,480,3.03,24.1,7845
31,32,Dr. Mundo,54.87%,113,2.19,183.13,10549
32,33,Katarina,54.79%,365,2.68,157.17,11552
33,34,Zac,54.77%,241,3.49,140.06,10285
34,35,Yone,54.74%,718,1.9,203.32,11644
35,36,Kayn,54.73%,782,2.66,177.12,12214
36,37,Qiyana,54.56%,933,2.36,166.54,11499
37,38,Garen,54.5%,189,2.08,197.2,11465
38,39,Thresh,54.45%,1201,2.81,31.82,7221
39,40,Galio,54.39%,239,3.03,113.29,9059
40,41,Vi,54.35%,46,2.69,159.83,11690
41,42,Kindred,54.27%,433,2.34,154.91,11472
42,43,Bard,54.19%,620,3.19,20.82,7947
43,44,Vayne,54.06%,727,2.03,184.35,11246
44,45,Ziggs,53.98%,289,2.56,203.41,11628
45,46,Teemo,53.97%,63,1.69,184.94,10912
46,47,Kassadin,53.93%,369,2.61,186.01,11463
47,48,Tristana,53.9%,564,2.53,203.59,12323
48,49,Rengar,53.88%,232,2.4,161.7,12115
49,50,Vex,53.83%,745,2.46,166.97,10710
50,51,Zilean,53.71%,877,3.32,77.76,8143
51,52,Zoé,53.56%,435,2.73,168.73,10716
52,53,Trundle,53.44%,247,2.64,148.99,10847
53,54,Diana,53.4%,1161,2.8,179.29,11869
54,55,Alistar,53.4%,206,2.78,29.51,7297
55,56,Zeri,53.23%,1860,2.49,200.34,11944
56,57,Gwen,53.23%,1488,2.24,190.37,11676
57,58,Draven,53.17%,521,2.05,194.51,12811
