,rank,champion,winrate,nb_game,kd_rate,nb_kill_mobs,gold
0,1,Yorick,53.36%,6602,1.65,165.87,11345
1,2,Urgot,52.71%,11269,1.81,169.6,11759
2,3,Dr. Mundo,52.63%,13357,2.16,149.74,10714
3,4,Zyra,52.52%,9079,1.94,62.79,9652
4,5,Zac,51.98%,3053,2.85,124.09,10199
5,6,Trundle,51.75%,11255,2.06,139.78,11191
6,7,Brand,51.53%,16372,1.78,64.88,10056
7,8,Xerath,51.12%,14980,2.33,80.79,10280
8,9,Maître Yi,51.06%,26925,1.74,147.28,11898
9,10,Rammus,50.89%,3653,2.29,122.6,10230
10,11,Garen,50.86%,21381,1.91,156.55,11362
11,12,Malzahar,50.78%,5022,1.95,163.98,11151
12,13,Skarner,50.74%,680,2.1,134.78,10282
13,14,Miss Fortune,50.64%,42200,2.07,144.7,11246
14,15,Blitzcrank,50.59%,15037,2.19,30.73,7836
15,16,Sion,50.52%,4101,1.62,158.36,10976
16,17,Nasus,50.43%,13792,1.83,148.07,10904
17,18,Swain,50.31%,6249,2.11,54.31,9703
18,19,Lux,50.29%,54899,2.27,66.5,9538
19,20,Vi,50.21%,13327,1.95,137.55,11048
20,21,Maokai,50.14%,1819,2.04,53.23,8307
21,22,Amumu,50.09%,9533,2.19,123.45,10128
22,23,Sejuani,50.02%,3127,2.41,132.5,10346
23,24,Lillia,49.93%,5177,2.06,149.5,11093
24,25,Ornn,49.92%,4708,2.02,137.56,9848
25,26,Illaoi,49.89%,6995,1.47,159.53,11077
26,27,Warwick,49.82%,27389,1.89,124.17,10931
27,28,Viktor,49.82%,4872,1.98,146.5,10969
28,29,Volibear,49.81%,15260,1.89,133.23,10555
29,30,Leona,49.68%,12658,2.1,32.11,7749
30,31,Veigar,49.64%,23376,2.01,132.53,10696
31,32,Diana,49.58%,24401,1.95,154.79,11425
32,33,Morgana,49.56%,30085,2.2,47.37,9108
33,34,Teemo,49.51%,20834,1.61,143.76,10952
34,35,Viego,49.36%,20089,1.9,141.72,11189
35,36,Sett,49.36%,20017,1.63,134.65,10751
36,37,Vel'Koz,49.29%,9105,2.05,83.94,9795
37,38,Shyvana,49.24%,4370,1.94,160.68,11320
38,39,Draven,49.21%,4028,2.05,140.31,11832
39,40,Neeko,49.16%,7919,1.94,103.96,9824
40,41,Fizz,49.12%,6920,2.17,121.93,11053
41,42,Jhin,49.03%,20489,2.43,144.75,11068
42,43,Ziggs,49.01%,5587,1.99,138.53,10404
43,44,Nocturne,48.97%,11296,2.04,146.26,11640
44,45,Tristana,48.93%,21509,1.91,146.35,11332
45,46,Nami,48.84%,6599,2.65,13.48,7916
46,47,Nautilus,48.78%,10849,2.09,35.76,7926
47,48,Kayle,48.69%,8388,1.7,164.35,11142
48,49,Karthus,48.68%,2124,1.97,153.44,12110
49,50,Yone,48.66%,30022,1.64,151.2,11202
50,51,Cho'Gath,48.52%,7813,1.9,138.35,10524
51,52,Shaco,48.5%,12079,2.2,120.55,10893
52,53,Kog'Maw,48.42%,2247,1.81,143.01,11291
53,54,Rell,48.26%,1237,2.06,33.28,7945
54,55,Tryndamere,48.23%,14999,1.68,164.92,11665
55,56,Sona,48.2%,6787,2.49,18.06,8003
56,57,Senna,48.19%,20509,2.31,50.45,9941
57,58,Kled,48.19%,1828,2.02,123.43,10569
58,59,Yasuo,48.17%,28253,1.55,161.27,11502
59,60,Cassiopeia,48.03%,8264,1.79,139.64,10793
60,61,Renata Glasc,47.97%,6269,2.04,28.85,8218
61,62,Malphite,47.96%,9515,2.11,106.27,9765
62,63,Twitch,47.94%,8209,2.02,133.65,11291
63,64,Kassadin,47.94%,2868,2.0,127.2,10752
64,65,Mordekaiser,47.86%,19831,1.69,139.5,10813
65,66,Shen,47.83%,5229,2.44,104.85,9309
66,67,Galio,47.83%,4033,2.08,84.9,9059
67,68,Ekko,47.74%,11160,1.99,136.22,10867
68,69,Alistar,47.72%,2364,2.04,34.62,7572
69,70,Kai'Sa,47.68%,16241,2.0,155.58,11443
70,71,Sivir,47.68%,8395,2.04,157.7,10792
71,72,Braum,47.68%,2611,2.35,33.73,7871
72,73,Jax,47.48%,16138,1.55,135.8,10895
73,74,Séraphine,47.42%,11591,2.25,51.9,8899
74,75,Akali,47.36%,24850,1.99,117.17,10399
75,76,Pyke,47.32%,17919,1.94,39.05,10525
76,77,Tahm Kench,47.27%,5955,2.1,105.34,9657
77,78,Poppy,47.21%,4279,1.9,122.94,9923
78,79,Rakan,47.18%,5019,2.33,32.25,7772
79,80,Orianna,47.17%,2283,2.17,138.42,10201
80,81,Jinx,47.14%,30756,1.95,148.26,10742
81,82,Anivia,47.08%,3923,2.03,119.51,10209
82,83,Heimerdinger,47.07%,5598,1.55,134.57,10236
83,84,Ahri,47%,17005,2.01,127.42,10133
84,85,Xin Zhao,46.92%,15646,1.84,133.93,10680
85,86,Samira,46.92%,8722,1.77,144.61,11271
86,87,Akshan,46.9%,8781,1.79,147.68,11438
87,88,Vayne,46.88%,13658,1.67,138.15,10928
88,89,Zeri,46.88%,13207,1.96,152.49,11208
89,90,Singed,46.8%,2015,1.56,143.44,10344
90,91,Kayn,46.77%,23484,1.8,149.45,11309
91,92,Hecarim,46.76%,8988,2.23,145.22,10951
92,93,Pantheon,46.69%,8708,1.77,80.02,9801
93,94,Irelia,46.66%,15398,1.58,169.6,11614
94,95,Katarina,46.66%,8407,1.9,123.07,11006
95,96,Varus,46.57%,5050,1.92,138.62,10683
96,97,Wukong,46.43%,3765,1.86,126.14,10391
97,98,Vex,46.4%,17275,1.88,111.07,9915
98,99,Ashe,46.4%,15553,1.96,127.48,10259
99,100,Jarvan IV,46.39%,2964,2.46,135.27,10850
100,101,Quinn,46.37%,2918,1.67,141.28,11176
101,102,Aphelios,46.26%,6062,1.78,146.93,10870
102,103,Kha'Zix,46.14%,9552,1.85,137.21,11259
103,104,Janna,46.09%,4114,2.42,19.55,7709
104,105,Nunu et Willump,46.07%,6138,2.25,124.84,10057
105,106,Fiora,45.92%,6537,1.6,137.45,10640
106,107,Graves,45.79%,5315,1.85,168.58,11516
107,108,Lulu,45.79%,4639,2.32,20.92,7646
108,109,Xayah,45.74%,6060,1.85,148.71,10852
109,110,Ezreal,45.73%,15533,1.98,136.1,10854
110,111,Camille,45.7%,2967,1.66,127.53,10244
111,112,Qiyana,45.69%,6259,1.71,130.68,10590
112,113,Rumble,45.65%,1321,1.74,138.05,10578
113,114,Kennen,45.54%,3072,1.78,124.85,9962
114,115,Zilean,45.46%,2534,2.22,52.25,8503
115,116,Lucian,45.41%,7846,1.88,154.5,11353
116,117,Kalista,45.3%,1810,1.85,152.17,11331
117,118,Syndra,45.28%,3200,1.86,140.24,10368
118,119,Taliyah,45.26%,1003,1.82,114.47,10377
119,120,Corki,45.21%,4032,1.73,156.28,11651
120,121,Darius,45.13%,13235,1.56,143.13,10579
121,122,Annie,45.08%,4270,1.87,113.89,9929
122,123,Renekton,44.86%,7085,1.57,149.51,10500
123,124,Caitlyn,44.84%,23981,1.82,146.08,10707
124,125,Zoé,44.84%,3243,1.97,107.93,9580
125,126,Evelynn,44.79%,5481,2.01,123.08,10779
126,127,Bard,44.71%,2062,2.26,31.01,8294
127,128,Kindred,44.69%,5673,1.67,141.27,11053
128,129,Nidalee,44.57%,2872,1.83,101.61,9986
129,130,Jayce,44.3%,4334,1.68,147.87,11089
130,131,Lissandra,44.25%,1417,1.89,128.26,10076
131,132,Gnar,44.19%,3139,1.62,138.29,10207
132,133,Aurelion Sol,44.13%,1090,1.77,121.18,9695
133,134,LeBlanc,44.08%,4467,2.1,104.15,9560
134,135,Zed,44.07%,12034,1.83,136.78,11045
135,136,Sylas,44.07%,10373,1.68,106.62,9911
136,137,Elise,44.05%,1151,1.77,113.67,10136
137,138,Gangplank,43.85%,3512,1.66,165.29,12038
138,139,Gwen,43.77%,8737,1.54,145.08,10485
139,140,Talon,43.76%,5553,1.71,136.3,10925
140,141,Olaf,43.7%,3030,1.6,134.35,10446
141,142,Rengar,43.62%,3945,1.67,133.51,11393
142,143,Riven,43.5%,3869,1.57,139.86,10403
143,144,Vladimir,43.48%,2486,1.82,138.35,10330
144,145,Thresh,43.38%,7223,1.92,37.15,7766
145,146,Udyr,43.37%,2285,1.74,146.51,10689
146,147,Karma,43.24%,4540,2.05,38.51,8282
147,148,Ivern,42.83%,934,2.04,111.55,9182
148,149,Azir,42.8%,1014,1.44,135.85,9872
149,150,Gragas,42.47%,2517,1.75,116.55,9458
150,151,Aatrox,42.37%,3972,1.48,134.21,9957
151,152,Soraka,42.29%,10536,1.92,14.79,6900
152,153,Fiddlesticks,42.04%,3975,1.83,135.19,10176
153,154,Twisted Fate,41.71%,2213,1.47,120.03,10112
154,155,Rek'Sai,41.63%,1326,1.58,121.51,10281
155,156,Lee Sin,41.53%,11524,1.85,127.18,10515
156,157,Taric,41.29%,1957,1.84,29.5,6932
157,158,Yuumi,40.51%,18627,3.4,5.42,7007
158,159,Ryze,38.52%,3354,1.58,151.65,10055
