,rank,champion,winrate,nb_game,kd_rate,nb_kill_mobs,gold
0,1,Pantheon,58.08%,897,2.19,127.99,10658
1,2,Rek'Sai,57.54%,2671,2.7,148.8,11495
2,3,Janna,57.14%,5975,3.45,15.77,7400
3,4,Zyra,57.13%,989,2.39,42.22,8659
4,5,Fiddlesticks,57.06%,892,2.88,154.98,10871
5,6,Illaoi,56.97%,674,1.36,225.24,12317
6,7,Nocturne,56.56%,815,2.84,164.59,11645
7,8,Zeri,56.5%,9154,2.54,201.94,12350
8,9,Rell,56.43%,824,2.71,31.21,7427
9,10,Anivia,56.14%,1637,2.62,176.23,11103
10,11,Cassiopeia,55.88%,2740,2.03,195.76,11597
11,12,Kha'Zix,55.82%,4631,2.86,161.6,11932
12,13,Ahri,55.78%,5884,2.84,181.87,11338
13,14,Bard,55.78%,2976,3.32,21.09,7983
14,15,Soraka,55.64%,3357,2.97,32.16,7377
15,16,Elise,55.56%,1206,2.79,129.02,10654
16,17,Qiyana,55.48%,4178,2.43,165.82,11918
17,18,Kindred,55.48%,2601,2.48,167.07,11983
18,19,Kled,55.45%,725,2.19,174.52,11509
19,20,Annie,55.41%,453,2.47,155.28,10633
20,21,Ziggs,55.23%,1329,2.64,208.55,12021
21,22,Renata Glasc,55.1%,2982,2.9,24.89,7965
22,23,Evelynn,55.09%,1445,3.4,153.8,11743
23,24,Riven,55.02%,3755,2.08,193.61,11651
24,25,Lulu,55%,6274,3.34,19.02,7628
25,26,Tryndamere,54.97%,3449,2.0,212.87,12638
26,27,Neeko,54.94%,526,2.3,151.19,10856
27,28,Xayah,54.92%,1535,2.53,207.43,12124
28,29,Zac,54.88%,1997,3.46,136.3,10174
29,30,Ekko,54.85%,3105,2.71,179.57,11939
30,31,Brand,54.82%,1173,1.93,91.08,9965
31,32,Quinn,54.81%,1018,2.0,173.48,11905
32,33,Kassadin,54.8%,2179,2.65,186.29,11570
33,34,Singed,54.75%,1894,2.54,164.59,10220
34,35,Xin Zhao,54.73%,5485,2.58,153.71,10991
35,36,Amumu,54.7%,351,2.51,123.32,9652
36,37,Garen,54.66%,1471,2.11,202.54,12042
37,38,Blitzcrank,54.65%,2838,2.58,31.32,7470
38,39,Sona,54.51%,1820,3.06,17.14,7682
39,40,Shen,54.49%,2314,3.07,144.82,9467
40,41,Zoé,54.48%,1898,2.77,163.87,10879
41,42,Vel'Koz,54.45%,911,2.46,129.86,10189
42,43,Talon,54.44%,1927,2.31,184.34,12351
43,44,Sylas,54.34%,3844,2.21,157.21,10910
44,45,Twitch,54.32%,3805,2.41,168.19,12072
45,46,Kayle,54.31%,1646,1.97,217.79,12178
46,47,Vayne,54.27%,5327,2.1,188.71,11779
47,48,Urgot,54.23%,1833,1.95,199.39,12169
48,49,Rengar,54.21%,2341,2.45,166.24,12266
49,50,Kayn,54.2%,3087,2.63,179.3,12418
50,51,Maokai,54.1%,451,2.23,38.15,8200
51,52,Trundle,54.09%,1453,2.52,152.95,10881
52,53,Senna,54.07%,5608,2.91,57.13,9891
53,54,Sejuani,54.05%,729,3.33,157.27,10833
54,55,Fiora,54.03%,3737,1.76,187.05,11550
55,56,Olaf,54.03%,670,2.4,169.03,11587
56,57,Nidalee,53.94%,2718,3.41,162.35,11582
57,58,Aurelion Sol,53.94%,723,2.81,169.34,10556
58,59,Vex,53.87%,2777,2.49,159.59,10760
59,60,Akshan,53.76%,4033,2.15,184.25,12206
60,61,Diana,53.74%,5834,2.65,183.47,12090
61,62,Jinx,53.72%,14122,2.48,206.13,11979
62,63,Darius,53.62%,2557,1.92,192.05,11616
63,64,Tahm Kench,53.62%,1050,2.55,87.42,8413
64,65,Veigar,53.55%,6306,2.41,193.41,11650
65,66,Ashe,53.52%,1164,2.41,176.48,10926
66,67,Kog'Maw,53.5%,957,2.18,201.36,12261
67,68,Tristana,53.49%,2653,2.54,202.61,12529
68,69,Malphite,53.46%,1661,2.35,153.25,9719
69,70,Miss Fortune,53.46%,838,2.37,196.71,12054
70,71,Rumble,53.44%,1441,2.53,164.91,11444
71,72,Katarina,53.38%,2458,2.63,164.19,11757
72,73,Nunu et Willump,53.38%,2098,3.07,139.45,10297
73,74,Twisted Fate,53.36%,1769,2.58,163.6,10968
74,75,Kalista,53.33%,765,2.22,200.66,12421
75,76,Maître Yi,53.32%,1399,2.3,165.45,12256
76,77,Heimerdinger,53.3%,893,1.88,163.28,10728
77,78,Fizz,53.28%,1389,2.58,169.0,11291
78,79,Pyke,53.27%,5650,2.35,44.16,10624
79,80,Rakan,53.25%,3923,3.27,31.15,7467
80,81,Hecarim,53.23%,4385,3.16,170.38,11686
81,82,Jhin,53.22%,11949,3.13,195.81,11830
82,83,Orianna,53.19%,1694,2.81,198.57,11211
83,84,Wukong,53.15%,1016,2.14,159.86,11047
84,85,Vi,53.12%,625,2.54,159.8,11375
85,86,Yorick,53.11%,563,1.49,202.85,11492
86,87,Malzahar,53.04%,873,2.13,199.29,11198
87,88,Taric,52.94%,374,3.56,44.46,7512
88,89,Volibear,52.92%,2279,2.49,155.16,10698
89,90,Irelia,52.89%,4103,1.59,216.12,12247
90,91,Jax,52.84%,2655,1.62,187.57,11541
91,92,Zed,52.83%,3462,2.47,181.44,12104
92,93,Kai'Sa,52.82%,4718,2.58,205.23,12405
93,94,Lissandra,52.76%,1016,2.4,178.22,10816
94,95,Kennen,52.64%,889,2.1,176.32,11058
95,96,Camille,52.62%,4278,1.9,174.25,11096
96,97,Shaco,52.54%,2918,3.01,145.14,11425
97,98,Ivern,52.52%,933,3.76,111.24,8781
98,99,Gwen,52.44%,6777,2.11,190.15,11753
99,100,Leona,52.35%,3087,2.38,32.71,7235
100,101,Draven,52.31%,3399,2.09,196.62,12956
101,102,Nautilus,52.29%,3647,2.32,33.58,7311
102,103,Dr. Mundo,52.16%,763,2.1,187.61,11037
103,104,Galio,52.15%,838,2.74,111.02,9014
104,105,Jarvan IV,52.14%,2735,3.33,140.84,10783
105,106,Yuumi,52.12%,4152,4.4,6.62,7600
106,107,Gragas,52.1%,2624,2.37,151.43,9938
107,108,Ornn,52.07%,1911,2.34,167.65,9837
108,109,Karma,52%,8114,2.92,40.57,8150
109,110,Morgana,51.97%,1064,2.8,48.95,8564
110,111,Lillia,51.95%,922,2.84,189.86,11824
111,112,Yasuo,51.93%,4664,1.84,205.95,11955
112,113,Nami,51.92%,4143,3.38,13.0,7921
113,114,Alistar,51.87%,1334,2.68,31.43,7275
114,115,Skarner,51.87%,241,2.89,146.4,10140
115,116,Yone,51.84%,4695,1.82,205.27,11954
116,117,Sion,51.81%,1683,1.5,200.37,11348
117,118,Rammus,51.81%,608,2.86,120.78,9635
118,119,Lee Sin,51.76%,8211,2.97,148.46,11261
119,120,Lux,51.76%,3514,2.82,97.8,9868
120,121,Mordekaiser,51.71%,847,1.78,177.31,10893
121,122,Graves,51.68%,6596,2.21,207.93,12178
122,123,Gnar,51.66%,1928,1.81,188.67,11049
123,124,Teemo,51.66%,631,1.72,191.93,11625
124,125,Akali,51.61%,4980,2.3,171.04,11124
125,126,Aatrox,51.59%,3960,1.94,178.73,10958
126,127,Viego,51.56%,7385,2.59,159.83,11536
127,128,Udyr,51.55%,838,2.91,182.75,11541
128,129,Syndra,51.4%,2150,2.25,189.49,11098
129,130,Séraphine,51.33%,2098,2.88,142.4,9942
130,131,Vladimir,51.32%,2804,2.43,198.17,11336
131,132,Zilean,51.27%,4250,3.3,73.98,8267
132,133,Karthus,51.26%,2848,2.28,197.21,12495
133,134,Gangplank,51.17%,1974,2.03,208.1,13184
134,135,Shyvana,51%,647,2.48,200.91,12010
135,136,Lucian,50.93%,2211,2.2,203.07,12154
136,137,Renekton,50.86%,2552,1.87,195.11,11444
137,138,Warwick,50.85%,531,1.82,153.5,10776
138,139,Ezreal,50.82%,7253,2.33,194.7,11803
139,140,Poppy,50.75%,1535,2.48,144.49,10150
140,141,Jayce,50.74%,4275,1.77,202.85,12201
141,142,Sett,50.6%,2751,1.78,164.52,10924
142,143,LeBlanc,50.52%,2201,3.1,152.56,10745
143,144,Braum,50.38%,919,2.82,33.09,7344
144,145,Cho'Gath,50.31%,972,2.12,186.2,10967
145,146,Swain,50.25%,394,2.4,119.01,10052
146,147,Thresh,50.21%,5258,2.74,32.55,7347
147,148,Caitlyn,50.2%,3974,2.29,198.94,11904
148,149,Xerath,50.11%,2782,2.99,131.9,10829
149,150,Viktor,49.99%,5417,2.17,202.07,11533
150,151,Nasus,49.87%,762,1.89,182.76,11066
151,152,Taliyah,49.42%,692,2.49,138.49,11345
152,153,Sivir,49.06%,691,2.42,217.16,11987
153,154,Corki,49.04%,2184,2.17,211.74,12582
154,155,Azir,48.87%,663,2.13,193.39,11388
155,156,Ryze,48.5%,2596,2.34,212.3,11408
156,157,Samira,48.16%,1578,2.13,189.85,12281
157,158,Varus,47.89%,1163,2.27,195.58,11784
158,159,Aphelios,47.8%,5538,2.03,196.01,11716
