,rank,champion,winrate
0,1,Jinx,24.11%
1,2,Lux,23.09%
2,3,Jhin,22.67%
3,4,Renata Glasc,17.83%
4,5,Ezreal,17.14%
5,6,Caitlyn,16.36%
6,7,Vayne,15.66%
7,8,Diana,15.52%
8,9,Yasuo,15.37%
9,10,Zeri,15.15%
10,11,Senna,14.56%
11,12,Veigar,14.13%
12,13,Ahri,13.40%
13,14,Yone,12.81%
14,15,Garen,12.47%
15,16,Kai'Sa,12.32%
16,17,Kayn,11.82%
17,18,Viego,11.82%
18,19,Miss Fortune,11.76%
19,20,Akali,11.49%
20,21,Lee Sin,11.12%
21,22,Pyke,10.44%
22,23,Morgana,10.20%
23,24,Xerath,10.12%
24,25,Maître Yi,10.12%
25,26,Lulu,9.98%
26,27,Tristana,9.80%
27,28,Nami,9.59%
28,29,Thresh,9.28%
29,30,Yuumi,9.13%
30,31,Kha'Zix,9.07%
31,32,Zed,9.03%
32,33,Twitch,8.97%
33,34,Irelia,8.95%
34,35,Ekko,8.93%
35,36,Janna,8.65%
36,37,Leona,8.57%
37,38,Shaco,8.49%
38,39,Hecarim,8.43%
39,40,Viktor,8.37%
40,41,Brand,8.34%
41,42,Vex,8.25%
42,43,Tryndamere,8.13%
43,44,Sett,8.12%
44,45,Blitzcrank,8.11%
45,46,Darius,8.02%
46,47,Nautilus,7.93%
47,48,Xin Zhao,7.84%
48,49,Gwen,7.53%
49,50,Teemo,7.52%
50,51,Karma,7.48%
51,52,Graves,7.46%
52,53,Warwick,7.45%
53,54,Lucian,7.30%
54,55,Trundle,7.19%
55,56,Volibear,7.14%
56,57,Katarina,7.08%
57,58,Jax,7.01%
58,59,Vi,6.84%
59,60,Gangplank,6.83%
60,61,Akshan,6.83%
61,62,Mordekaiser,6.80%
62,63,Soraka,6.78%
63,64,Nasus,6.46%
64,65,Sylas,6.43%
65,66,Ashe,6.16%
66,67,Qiyana,6.03%
67,68,Corki,5.98%
68,69,Malphite,5.94%
69,70,Nocturne,5.93%
70,71,Samira,5.93%
71,72,Zyra,5.83%
72,73,Fiora,5.77%
73,74,Sion,5.77%
74,75,Shen,5.75%
75,76,Urgot,5.71%
76,77,Kayle,5.39%
77,78,Draven,5.34%
78,79,Zac,5.30%
79,80,Zilean,5.27%
80,81,Vel'Koz,5.23%
81,82,Dr. Mundo,5.08%
82,83,Amumu,5.06%
83,84,Fizz,5.05%
84,85,Nunu et Willump,5.03%
85,86,Aphelios,4.98%
86,87,Cassiopeia,4.96%
87,88,Riven,4.90%
88,89,Jarvan IV,4.82%
89,90,Malzahar,4.81%
90,91,Camille,4.67%
91,92,Vladimir,4.60%
92,93,Séraphine,4.57%
93,94,Rakan,4.36%
94,95,Jayce,4.32%
95,96,Sona,4.19%
96,97,Aatrox,4.10%
97,98,Renekton,4.02%
98,99,LeBlanc,3.99%
99,100,Cho'Gath,3.98%
100,101,Yorick,3.92%
101,102,Kassadin,3.91%
102,103,Anivia,3.85%
103,104,Xayah,3.78%
104,105,Ornn,3.73%
105,106,Rengar,3.68%
106,107,Evelynn,3.58%
107,108,Syndra,3.57%
108,109,Swain,3.55%
109,110,Tahm Kench,3.54%
110,111,Sivir,3.53%
111,112,Pantheon,3.52%
112,113,Poppy,3.51%
113,114,Lillia,3.43%
114,115,Gragas,3.33%
115,116,Fiddlesticks,3.32%
116,117,Kindred,3.30%
117,118,Gnar,3.24%
118,119,Orianna,3.21%
119,120,Bard,3.18%
120,121,Sejuani,3.14%
121,122,Ziggs,3.02%
122,123,Alistar,2.92%
123,124,Shyvana,2.92%
124,125,Ryze,2.81%
125,126,Annie,2.75%
126,127,Talon,2.71%
127,128,Twisted Fate,2.68%
128,129,Rammus,2.67%
129,130,Illaoi,2.64%
130,131,Lissandra,2.55%
131,132,Wukong,2.50%
132,133,Neeko,2.50%
133,134,Singed,2.47%
134,135,Galio,2.45%
135,136,Karthus,2.41%
136,137,Braum,2.38%
137,138,Quinn,2.37%
138,139,Varus,2.32%
139,140,Rek'Sai,2.28%
140,141,Zoé,2.26%
141,142,Nidalee,2.16%
142,143,Heimerdinger,1.93%
143,144,Elise,1.88%
144,145,Udyr,1.82%
145,146,Kog'Maw,1.74%
146,147,Kennen,1.60%
147,148,Kled,1.53%
148,149,Olaf,1.47%
149,150,Kalista,1.36%
150,151,Rumble,1.30%
151,152,Maokai,1.28%
152,153,Rell,1.23%
153,154,Taric,1.17%
154,155,Ivern,1.12%
155,156,Azir,1.09%
156,157,Taliyah,1.07%
157,158,Aurelion Sol,0.83%
158,159,Skarner,0.75%
