,rank,champion,winrate,nb_game,kd_rate,nb_kill_mobs,gold
0,1,Garen,53.78%,67779,2.13,207.05,12815
1,2,Soraka,53.56%,47885,2.86,25.03,7656
2,3,Nocturne,53.49%,30925,2.69,171.52,12344
3,4,Ahri,53.41%,99686,2.65,179.51,11775
4,5,Janna,53.37%,73522,3.25,16.98,7742
5,6,Kha'Zix,53.31%,72187,2.63,163.58,12462
6,7,Urgot,53.11%,26858,1.93,207.63,12856
7,8,Fizz,53.08%,29056,2.48,168.64,12212
8,9,Senna,53.06%,96166,2.77,59.25,10576
9,10,Sona,53.05%,27908,3.03,17.95,8103
10,11,Vayne,53.03%,109016,2.15,191.99,12497
11,12,Blitzcrank,52.91%,46785,2.57,34.18,8015
12,13,Anivia,52.91%,27680,2.57,187.59,11953
13,14,Cassiopeia,52.86%,31649,2.04,201.63,12251
14,15,Vi,52.82%,29775,2.49,161.69,11790
15,16,Kayle,52.8%,34904,1.92,223.15,12706
16,17,Dr. Mundo,52.78%,19890,2.27,193.7,11719
17,18,Veigar,52.66%,86451,2.37,189.46,12211
18,19,Nunu et Willump,52.63%,37746,3.02,142.83,10666
19,20,Skarner,52.52%,5297,2.89,155.32,10827
20,21,Riven,52.51%,39500,2.04,196.88,12268
21,22,Zeri,52.41%,114742,2.42,204.01,12840
22,23,Quinn,52.4%,16196,1.93,180.14,12452
23,24,Rek'Sai,52.34%,19661,2.54,150.74,12027
24,25,Shen,52.33%,34838,2.96,149.1,10216
25,26,Zac,52.26%,42224,3.54,146.31,10930
26,27,Trundle,52.26%,37502,2.32,171.81,11928
27,28,Warwick,52.21%,29486,2.3,151.68,11586
28,29,Singed,52.19%,17345,2.14,181.9,11316
29,30,Tahm Kench,52.19%,16687,2.63,120.52,9888
30,31,Mordekaiser,52.16%,29326,1.92,186.56,11993
31,32,Zyra,52.12%,27027,2.08,54.88,9622
32,33,Ornn,52.06%,24438,2.4,173.96,10683
33,34,Shaco,52.04%,46485,2.76,142.47,11924
34,35,Zilean,52%,48583,3.24,71.9,8811
35,36,Fiddlesticks,51.98%,24501,2.72,158.75,11373
36,37,Jhin,51.94%,157182,3.01,195.47,12601
37,38,Rammus,51.94%,13532,2.98,137.62,10660
38,39,Ziggs,51.91%,16063,2.44,202.05,12299
39,40,Akshan,51.9%,49680,2.11,186.01,12935
40,41,Twitch,51.84%,65650,2.37,166.33,12599
41,42,Volibear,51.72%,37020,2.28,166.85,11592
42,43,Kassadin,51.7%,31884,2.48,184.0,12108
