,rank,champion,winrate,nb_game,kd_rate,nb_kill_mobs,gold
0,1,Garen,54.66%,234488,2.26,196.52,12963
1,2,Dr. Mundo,53.82%,97183,2.42,184.69,11909
2,3,Urgot,53.47%,109516,1.97,201.44,12977
3,4,Sona,53.3%,67427,2.95,18.89,8458
4,5,Yorick,52.94%,81342,1.61,199.75,12422
5,6,Soraka,52.92%,107400,2.75,21.8,7886
6,7,Kayle,52.88%,92733,1.97,212.82,12796
7,8,Zyra,52.87%,118674,2.1,61.43,10016
8,9,Trundle,52.84%,137860,2.34,166.51,12163
9,10,Veigar,52.72%,243070,2.36,174.9,12280
10,11,Rammus,52.63%,53570,2.77,135.26,10899
11,12,Maître Yi,52.51%,190758,1.99,169.85,13006
12,13,Blitzcrank,52.47%,135456,2.51,35.19,8233
13,14,Vi,52.47%,133209,2.36,157.64,11952
14,15,Ziggs,52.47%,55061,2.4,182.56,12088
15,16,Fizz,52.42%,94786,2.44,152.93,12251
16,17,Nocturne,52.32%,113218,2.52,167.41,12594
17,18,Nasus,52.31%,126888,2.07,180.94,12078
18,19,Zac,52.21%,85361,3.43,140.96,11046
19,20,Vayne,52.08%,266359,2.07,181.25,12583
20,21,Mordekaiser,52.04%,127621,1.96,176.35,12165
21,22,Shyvana,52.03%,56804,2.42,190.94,12488
22,23,Malzahar,52.02%,100453,2.17,197.05,12277
23,24,Sivir,52%,68162,2.53,206.16,12668
24,25,Brand,51.96%,163022,1.87,79.22,10657
25,26,Warwick,51.89%,133198,2.26,146.03,11892
26,27,Ahri,51.79%,214563,2.48,165.2,11648
27,28,Amumu,51.79%,104385,2.58,145.7,11045
28,29,Miss Fortune,51.77%,235951,2.36,184.09,12748
29,30,Sejuani,51.7%,57006,3.03,152.15,11280
30,31,Cassiopeia,51.66%,80570,2.02,186.68,12225
31,32,Xerath,51.65%,173687,2.72,106.2,11280
32,33,Tristana,51.6%,186296,2.33,187.1,12947
33,34,Janna,51.59%,110895,3.02,17.43,7941
34,35,Singed,51.59%,37752,1.96,178.23,11496
35,36,Vel'Koz,51.55%,99156,2.37,115.9,10896
36,37,Nunu et Willump,51.53%,76183,2.84,141.82,10951
37,38,Skarner,51.53%,12797,2.69,148.25,10847
38,39,Shaco,51.5%,162961,2.62,136.9,12020
39,40,Lux,51.46%,444861,2.66,89.21,10437
40,41,Jhin,51.44%,388835,2.88,184.16,12688
41,42,Nami,51.44%,137357,3.13,13.8,8378
42,43,Anivia,51.41%,61700,2.49,172.44,11912
43,44,Diana,51.39%,269793,2.26,181.68,12615
44,45,Kog'Maw,51.32%,28287,2.19,185.21,12831
45,46,Ornn,51.23%,60087,2.3,164.73,10754
